Temperature_C,RDS_on_mOhm,Vfinal_mV,I_actual_A,I_no_comp_A,I_comp_A,Error_no_comp_percent,Error_comp_percent
25,1.49,280.85801,10.0,10.0,10.0,0.0,0.0
50,1.69,255.36887,10.0,11.342281879194632,10.312918284621505,13.422818791946318,3.1291828462150484
75,1.91,221.31551,10.0,12.818791946308725,10.101180582961504,28.187919463087248,1.0118058296150423
100,2.17,189.17879,10.0,14.563758389261745,9.809776085549014,45.63758389261744,-1.902239144509856
125,2.44,165.81724,10.0,16.3758389261745,9.668217806651906,63.75838926174499,-3.3178219334809356
150,2.74,151.01202,10.0,18.389261744966447,9.887556927488406,83.89261744966447,-1.1244307251159391
175,3.08,142.16188,10.0,20.671140939597315,10.463110016759433,106.71140939597315,4.631100167594333
